district, code
R-20 Residential District, 02
R-10 Residential District, 03
R-7.5 Residential District, 04
R-5 Residential District, 06
R-3.5 Residential District, 07
A-1 Low Density Apartment, 11
A-2 Medium Density Apartment, 12
A-3 High Density Apartment, 13
AMX-1 Low Density Apartment Mixed Use, 16
AMX-2 Low Density Apartment Mixed Use, 17
AMX-3 Low Density Apartment Mixed Use, 18
Resort District, 21
B-1 Neighborhood Business District, 31
B-2 Community Business District, 32
BMX-3 Community Business Mixed Use, 33
BMX-4 Central Business Mixed Use, 34
I-1 Limited Industrial District, 41
I-2 General Industrial District, 42
I-3 Waterfront Industrial District, 43
IMX-1 Industrial-Commercial Mixed Use, 46
AG-1 Restricted Agricultural District, 51
AG-2 General Agricultural District, 52
Country District, 56
P-1 Restricted Preservation, 61
P-2 General Preservation, 62
F-1 Military & Federal Preservation, 63