ownership_and_control, code
Privately owned and used privately (fee simple), 10
Privately owned and used leased privately (leasehold), 11
Privately owned and used leased by City, 12
Privately owned and used leased by State, 13
Privately owned and used leased by Federal, 14
City owned and leased privately, 21
City owned and used by City, 22
City owned and leased by State, 23
City owned and leased by Federal, 24
State owned and leased privately, 31
State owned and leased by City, 32
State owned and used by State, 33
State owned and leased by Federal, 34
Federal owned and leased privately, 41
Federal owned and leased by City, 42
Federal owned and leased by State, 43
Federal owned and used by Federal, 44